Compound;Neutral mass (Da);m/z;Charge;Retention time (min);Identifications;Anova (p);Max Fold Change;Highest Mean;Lowest Mean;Isotope Distribution;Maximum Abundance;Minimum CV%;mp_20140701_04_p901_Serum_2;mp_20140701_06_p901_Serum_7;mp_20140701_07_p901_Serum_3;mp_20140701_08_p901_Serum_5;mp_20140701_09_p901_Serum_4;mp_20140701_12_p901_Serum_06;mp_20140701_21_p901_Serum_09;mp_20140701_23_p901_Serum_08;mp_20140701_01_p901_Serum_10;mp_20140701_02_p901_Serum_17;mp_20140701_03_p901_Serum_11;mp_20140701_11_p901_Serum_15;mp_20140701_13_p901_Serum_19;mp_20140701_14_p901_Serum_20;mp_20140701_16_p901_Serum_16;mp_20140701_17_p901_Serum_18;mp_20140701_18_p901_Serum_13;mp_20140701_19_p901_Serum_12;mp_20140701_22_p901_Serum_14;mp_20140701_04_p901_Serum_2;mp_20140701_06_p901_Serum_7;mp_20140701_07_p901_Serum_3;mp_20140701_08_p901_Serum_5;mp_20140701_09_p901_Serum_4;mp_20140701_12_p901_Serum_06;mp_20140701_21_p901_Serum_09;mp_20140701_23_p901_Serum_08;mp_20140701_01_p901_Serum_10;mp_20140701_02_p901_Serum_17;mp_20140701_03_p901_Serum_11;mp_20140701_11_p901_Serum_15;mp_20140701_13_p901_Serum_19;mp_20140701_14_p901_Serum_20;mp_20140701_16_p901_Serum_16;mp_20140701_17_p901_Serum_18;mp_20140701_18_p901_Serum_13;mp_20140701_19_p901_Serum_12;mp_20140701_22_p901_Serum_14;>1 ADDUCT;Anova p-value <= 0.01;IDs;CHOLESTEROL;Cholesterol derivates;TG;Accepted Compound ID;Accepted Description;Adducts;Formula;Score;Fragmentation Score;Mass Error (ppm);Isotope Similarity;Retention Time Error (mins);Compound Link
15.06_294.2560n;294.2559604566;312.2897859866;1;15.0564;8;0.004682971;2.4719038667;low FAT diet;High FAT Diet;100 - 20.7 - 0.00635;11562006.9919607;47.27;9850077.70740111;4540834.17891252;6046358.44237339;8276260.91924263;33155570.8988036;8617915.39113037;6926428.16790494;19790467.3869675;6854149.83491068;9699964.062186;3415871.90273656;4288345.78480681;4611023.92234176;5074634.40973276;2574945.06701376;2361169.30260651;4566146.60248493;6925637.98880523;3255952.87908594;14107604.3410891;5385185.30528235;7063865.36908036;10192223.9760411;41009115.7169241;8617915.39113037;6570977.22998738;20008898.3613906;9913609.53517156;12766460.717431;4153323.72370836;4635268.91907204;4451551.6984119;4977772.36363615;2447895.96937667;2121840.12429477;4238596.51863006;6825118.86449803;3175356.03130416;x;x;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na, M+K;;;;;;;
10.83_499.2971n;499.2970883792;517.3309139092;1;10.8295833333;3;0.1347640232;3.5620477585;High FAT Diet;low FAT diet;100 - 27.5 - 2.78;539756.872229758;110.57;88732.7789554096;133943.347583238;55291.2184488693;193344.656734518;30424.9582701092;558058.741822609;67522.9017388346;218453.429908944;17997.3990131125;56861.2758387033;170173.858564444;578511.088252471;3185908.21980625;126968.904170844;450914.152181533;93751.6333109628;65880.4618665283;592340.486861869;76258.6414439746;127085.996148808;158849.611927103;64595.8599606134;238104.146937568;37631.7041317035;558058.741822609;64057.7566204318;220864.53999685;26030.8266907043;74837.1065793641;206912.654823053;625312.090320633;3075723.61057288;124545.386168238;428665.818855766;84248.9257580025;61154.5621774917;583743.221580706;74370.958684195;x;;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na, M+K;;;;;;;
14.15_330.2768n;330.2768230171;331.2840994491;1;14.14675;3;0.0001311654;1.2216489092;High FAT Diet;low FAT diet;100 - 20.3 - 0.00128;47942735.2434996;7.66;39906068.6619682;33192540.5306661;36608138.1763894;35166477.5991094;40126246.0799842;36740689.6018907;42783894.7655447;45492504.4501819;43181985.1148406;45381981.5113007;45247278.4641309;47375078.359165;48883450.622564;46989044.398097;45875836.0590521;43998113.0379816;56363297.4993642;47568626.6497694;51744645.8335713;57154780.3189791;39364569.2548808;42768711.4409974;43307553.9347973;49630931.5198437;36740689.6018907;40588307.7828274;45994613.4646737;62456956.689465;59728807.2954607;55015703.2902083;51207677.5699497;47192816.8901354;46092141.366857;43612299.0037124;39538444.5893772;52320106.5049693;46878212.7553295;50463774.9184673;x;x;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na, M+K;;;;;;;
10.79_449.3141n;449.3141395431;450.3214159751;1;10.79395;4;0.1575013332;5.0098550429;High FAT Diet;low FAT diet;100 - 28.1 - 2.89;2627198.16237169;81.35;898817.452726124;1058328.31965431;257810.149602292;660680.254310809;55802.7714482416;1138182.27462158;118626.504804103;417670.95341158;113735.532757344;151320.411536612;263441.367067061;1902597.30850352;17487874.9144531;782003.221920964;2791510.6510244;301732.919936942;513550.475055004;1894381.64914316;183568.705076172;1287315.83390435;1255120.51103603;301195.53859235;813628.424017808;69020.7482365683;1138182.27462158;112538.821315247;422280.863402995;164503.211804344;199158.066694145;320315.664872921;2056515.63846869;16883056.9062657;767076.741309055;2653776.09746039;271149.135996335;476711.206452363;1866886.48049829;179024.702281919;x;;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na, M+K;;;;;;;
14.70_358.3085n;358.3085110407;359.3157874727;1;14.69555;1;0.0022013992;1.1538795903;High FAT Diet;low FAT diet;100 - 22.5;54067444.1759219;6.73;47835518.4095217;39766095.1565914;44923821.4408515;42233584.2226093;44992491.0127941;45223559.3530467;53935271.7196922;55678249.8088875;47125252.9103265;47804676.7967746;50955375.1674301;52389368.4466222;60654122.4340426;54005390.8953148;53706430.124242;52552068.238167;57753618.0203158;53941529.6104758;56911862.0258338;68511598.3060067;47160451.7690231;52483793.2694933;52010703.1312904;55649841.6500777;45223559.3530467;51167417.5739671;56292780.7404784;68160365.3044844;62917400.9844705;61956119.7139158;56627619.0018994;58556400.1151007;52974563.4031246;51056527.5799101;47225367.0583155;53610693.1271068;53158619.0210109;55503083.4436445;x;x;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na, M+K;;;;;;;
9.91_447.2985n;447.2984672361;465.3324973769;1;9.9075166667;0;0.2019332558;5.141411303;High FAT Diet;low FAT diet;100 - 27.6 - 2.49;709794.588595484;89.39;197416.725604328;222675.605637589;56835.1356715807;105662.394072474;16706.8304215942;360445.690746874;17036.7857773356;243808.058694328;21902.611463227;25801.9532909554;52873.0008815321;587792.723735629;4421256.46627659;119852.157653906;1280232.27092908;71246.9114708842;130447.861398501;361601.943647489;46840.5966702769;282746.708997695;264081.301381407;66399.594143127;130123.348785133;20664.1696538215;360445.690746874;16162.4907818696;246499.012414193;31679.1933466442;33958.8498483301;64287.7412144739;635344.601370853;4268347.34823338;117564.480496871;1217064.96034406;64025.2926057088;121090.25384457;356353.631393516;45681.1190672406;x;;;;;;;;M+H-H2O, M+H, M+NH4, M+K;;;;;;;
16.20_566.4912n;566.4911564448;584.5249819748;1;16.19755;6;0.2825965021;1.221099374;low FAT diet;High FAT Diet;100 - 37.3 - 6.38 - 0.242;2568492.96180767;71.5;2519445.20164252;744355.828388589;1578469.24757569;1279093.01054574;5797052.05229285;2572300.87665515;1201501.02372636;5458084.99391146;1966134.42153069;7962329.00836664;1912438.61566771;757428.620686866;593543.107265209;518821.261041081;1627301.12372792;753610.118816155;1075355.40791951;4668460.05760699;1164979.14872927;3608432.04689866;882766.009724558;1844100.76914519;1575204.37995856;7170197.10368156;2572300.87665515;1139842.30794391;5518326.86695028;2843750.05189387;10479498.6716339;2325314.5606032;818703.88258432;573015.423846521;508918.264126372;1547009.25964042;677223.859556989;998215.362997138;4600701.74889776;1136141.61618321;x;;x;;;;;;M+H-H2O, M+H, M+NH4, M+Na;;;;;;;
14.94_406.2212n;406.2212392193;407.2285156513;1;14.9398166667;0;0.0907494466;1.2542049748;low FAT diet;High FAT Diet;100 - 20.9 - 7.1 - 0.899;3210657.71001972;25.62;3976362.64020578;2626738.70276799;3300866.10660706;2291781.04233715;4313983.24019173;3078024.48244468;1864517.28439435;3455808.81877079;3987837.07245792;2724872.52221449;3291468.38357811;3417533.63582843;2629009.94251744;2499159.48897982;1989389.53165366;2103563.35872252;1559725.09994921;3398342.40831329;1986082.29607577;5695076.9842721;3115170.93679697;3856349.9006321;2822330.75001733;5335834.46467748;3078024.48244468;1768833.85255391;3493951.20686827;5767872.10353488;3586299.68027107;4002062.75662711;3694008.88756746;2538085.65556339;2451456.80104627;1891232.04158401;1890345.23428985;1447839.05428416;3349018.66318947;1936919.43087366;x;;;;;;;;M+H, M+NH4, M+Na, M+K;;;;;;;
13.60_462.1237n;462.1237247775;485.1127418644;1;13.6009333333;0;0.1831132565;1.341615811;low FAT diet;High FAT Diet;100 - 35.8 - 20 - 2.75 - 0.0626;170012.561967821;39.41;226846.041571871;225134.18236159;177306.173984513;264227.276198354;155714.060775642;81489.3050244246;151097.772988796;60438.5105885139;187859.734216685;207730.08039887;186509.941921299;108796.903553226;119645.942543567;111960.898291136;66117.679560002;49844.1133750525;63273.0819490574;248074.726488951;105269.040660472;324896.340506392;266997.041248651;207144.011402953;325396.16692502;192597.978680286;81489.3050244246;143343.726628367;61105.5813808503;271713.939330536;273400.797594637;226775.531561536;117598.470561363;115507.988617725;109823.845487786;62855.3996637947;44791.8917132852;58734.2212635746;244474.155060048;102663.243475646;x;;;;;;;;M+H-H2O, M+H, M+NH4, M+Na;;;;;;;
